epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,47.8971,0.29499,0.8255,1,2.61348,0.0706818,0.00325758,0.00325758
2,89.7308,0.27584,0.88591,1,1.01105,0.0404208,0.00632991,0.00632991
3,132.146,0.24088,0.94631,1,0.31733,0.00989582,0.00913824,0.00913824
4,173.091,0.23792,0.7651,1,4.16973,0.008812,0.008812,0.008812
5,215.527,0.1906,0.95973,1,0.15499,0.008416,0.008416,0.008416
6,256.325,0.1865,0.89933,1,0.32477,0.00802,0.00802,0.00802
7,298.901,0.17329,0.95973,1,0.17301,0.007624,0.007624,0.007624
8,348.222,0.18979,0.92617,1,0.17874,0.007228,0.007228,0.007228
9,390.552,0.19845,0.95302,1,0.14365,0.006832,0.006832,0.006832
10,434.667,0.18129,0.93289,1,0.25275,0.006436,0.006436,0.006436
11,477.634,0.21339,0.9396,1,0.16123,0.00604,0.00604,0.00604
12,524.841,0.17663,0.98658,1,0.14176,0.005644,0.005644,0.005644
13,567.483,0.1577,0.98658,1,0.12794,0.005248,0.005248,0.005248
14,611.157,0.16063,0.96644,1,0.12719,0.004852,0.004852,0.004852
15,657.7,0.14049,0.97987,1,0.10928,0.004456,0.004456,0.004456
16,701.275,0.14821,0.95973,1,0.10985,0.00406,0.00406,0.00406
17,745.377,0.13705,0.95302,1,0.12217,0.003664,0.003664,0.003664
18,797.266,0.11881,0.97315,1,0.11833,0.003268,0.003268,0.003268
19,847.312,0.12257,0.95973,1,0.12754,0.002872,0.002872,0.002872
20,895.283,0.153,0.94631,1,0.13524,0.002476,0.002476,0.002476
21,939.668,0.10206,0.94631,1,0.12713,0.00208,0.00208,0.00208
22,986.829,0.12529,0.94631,1,0.19609,0.001684,0.001684,0.001684
23,1042.24,0.08376,0.95302,1,0.1553,0.001288,0.001288,0.001288
24,1099.19,0.09811,0.94631,1,0.17382,0.000892,0.000892,0.000892
25,1147.77,0.10628,0.94631,1,0.18238,0.000496,0.000496,0.000496
